name,description,biography,personality,seasons,titles,status,death,origin,allegiance,culture,religion,predecessor,successor,father,mother,spouse,children,siblings,lovers,image_1_src,image_1_caption,image_2_src,image_2_caption,image_3_src,image_3_caption,image_4_src,image_4_caption,image_5_src,image_5_caption,image_6_src,image_6_caption,image_7_src,image_7_caption,image_8_src,image_8_caption,house
Brienne of Tarth,"Brienne Tarth, commonly known as Brienne of Tarth, is a major character in the third, fourth, fifth, sixth and seventh seasons. She initially appeared as a recurring character in the second season. She is played by starring cast member Gwendoline Christie and debuts in ""What is Dead May Never Die."" She is a warrior of House Tarth, vassals to House Baratheon, and the only daughter of Selwyn Tarth.","Brienne is the sole surviving child and heir of Lord Selwyn Tarth of Evenfall Hall, on the island of Tarth, located in the Narrow Sea off the coast of the Stormlands. She is unusually tall and muscular for a woman by Westerosi standards and developed a taste for martial activity as a child. Brienne has grown up to become skilled at arms and dreams of becoming a knight.
Brienne's mother died when she was so young that she doesn't remember her. She had some siblings but they all died in childhood. As the sole heir of House Tarth, she posed a fairly promising marriage prospect for men from other noble Houses, but due to her physicality and personality has never seriously pursued a marriage alliance with another House.
She is also called The Maid of Tarth, or, disparagingly, Brienne the Beauty, due to her appearance.","Brienne has spent most of her life as the object of scorn, rejection and – at best – pity. When she tried to dress and act like a proper lady, she was met with mockery and disdain for her unattractive appearance and lack of feminine social graces; when she turned to a career more suited to her talents as a warrior, she received only contempt and resentment for her gender despite her considerable skill. Her lifetime of scorn and condescension led her to becoming extremely pragmatic and blunt. However, it has also provided her with nerves of Valyrian steel, and she is completely unafraid to face off against warriors as powerful or as intimidating as Jaime Lannister (arguably the best sword in the realm), Loras Tyrell (a renowned warrior) and even Sandor Clegane (a physically brutal and extremely intimidating person with an infamous temper).
Perhaps because of this background, Brienne is as awkward in personality as she is in appearance; Catelyn Stark notices that she has none of the easy confidence of some other warrior women. She yearns for respect and acceptance from others, and easily gives her love and loyalty to the few people who treat her with any degree of genuine courtesy. Renly Baratheon, Catelyn Stark, and Jaime Lannister are among those who have won Brienne's friendship and service in this manner. Brienne, much like Ned Stark, is motivated by her own sense of honour and duty, thus seeing most dishonourable acts as unacceptable. She often faces situations where her honour is eclipsed and opposed by her heart, since she confessed to Jaime that her failure to sway the Blackfish would result in the two of them fighting one another again, saying so in a tone that states outright she doesn't want to fight him - even though she has a considerable chance of defeating him.
She can be headstrong, sarcastic, cynical and judgmental, but she is also honest, straightforward, loyal, and determined. Although she has received extremely poor treatment from most knights, Brienne clings to a naïvely idealized concept of knighthood. Despite – or perhaps because of – the fact that she has no expectation of ever being recognized by society for her accomplishments and strength of character, she nevertheless strives to live up to the ideal of a true knight at all times. Brienne adheres to the expectations and guidelines of knighthood almost formally, since she expressed at the climax of her fight with the Hound that she had no wish to kill him (which he ignored and continued to fight her), and also carried out the killing of Stannis Baratheon as if it were an official execution, even permitting him any last words.
Brienne has proven herself to be one of the strongest fighters in Westeros, albeit the most underrated. In combat, she relies on a combination of her intimidating size, strength, and unrelenting brute force to win most fights. This unrelenting style is what allowed her to defeat Loras Tyrell and Sandor Clegane, two of the greatest swordsmen in the realm. She could fight three men at the same time, beat two armoured soldiers in a confined space and hold her ground against Jaime Lannister. Even after she was presented with a prominent disadvantage, such as being disarmed, she would resort brutally to continue fighting, shown when she proceeded to fight the Hound even after he'd ridden her of her sword. Jaime confessed that he considered her a good fighter, even before they became friends.
Brienne of Tarth is extremely noble and humble at all times, as evidenced by her confessing at several points that she was not a knight, and at one point not even a lady - even though she was inevitably a lady of Tarth as the only daughter of Lord Selwyn Tarth. This was probably motivated by her self-induced belief that she was inferior to the standards of a true knight, given that she has faced being underrated and underappreciated for her appearance and gender her whole life. The irony of the entire situation is that she exemplifies the qualities of a true knight: She is a strong and skilled fighter, is merciful and compassionate, unshakably loyal and determined, and takes her duties as a warrior sworn to a higher authority extremely seriously. The only reason she isn't viewed as such by the people of the Seven Kingdoms is because she is a woman.","2, 3, 4, 5, 6, 7","",Alive,"",Evenfall Hall,House Tarth,Andal,Faith of the Seven,"","",Selwyn Tarth,"","","","","",http://vignette4.wikia.nocookie.net/gameofthrones/images/3/35/No_One_29.jpg/revision/latest?cb=20160614170946,Brienne of Tarth,http://vignette4.wikia.nocookie.net/gameofthrones/images/d/d7/BrienneJoinsRenlysKingsguard.jpg,Brienne asks to join Renly's Kingsguard.,http://vignette4.wikia.nocookie.net/gameofthrones/images/6/67/BrienneAndCatelynMeet.jpg,Brienne escorts Lady Catelyn Stark.,http://vignette3.wikia.nocookie.net/gameofthrones/images/6/6a/Brienne_kneels.jpg,Brienne swears fealty to Lady Catelyn.,http://vignette1.wikia.nocookie.net/gameofthrones/images/e/ef/Catelyn_and_Jaime.jpg,Catelyn and Brienne talk to Jaime Lannister.,http://vignette2.wikia.nocookie.net/gameofthrones/images/4/4f/Jaime_and_Brienne.jpg,Brienne escorting Jaime to King's Landing.,http://vignette4.wikia.nocookie.net/gameofthrones/images/9/9a/Brienne_Owns_Jaime.jpg,Brienne beats down Jaime.,http://vignette2.wikia.nocookie.net/gameofthrones/images/f/fc/Brienne_Rape_Beatdown.jpg,Brienne is nearly raped.,""
Elia Sand,"Elia Sand is an unseen character in the fourth season. She is first mentioned in ""First of His Name"".","Elia Sand is the fifth of the eight bastard daughters of Prince Oberyn Martell, known as the ""Sand Snakes"". Her mother is Oberyn's paramour, Ellaria Sand. She was named after her aunt, the late Princess Elia Martell.","",4,"",Alive,"","",House Martell,Dornishmen,"","","",Oberyn Martell,Ellaria Sand,"","","Tyene Sand, Obella Sand, Dorea Sand, Loreza SandPaternal half-sisters:, Obara Sand, Nymeria Sand, Sarella Sand","","",Elia Sand,"","","","","","","","","","","","","","",House Martell
Olenna Tyrell,"Lady Olenna Tyrell, née Redwyne, is a recurring character in the third, fourth, fifth, sixth and seventh seasons. She is played by Dame Diana Rigg.
The elderly matriarch of House Tyrell, Lady Olenna has been a master of court politics and intrigue par excellence throughout her life. She's also known for her wit and sarcasm. As a result, Lady Olenna is popularly nicknamed the Queen of Thorns, in reference to the Tyrell sigil - a rose - and her cutting barbs. In many ways she is the de facto head of House Tyrell at the time of the War of the Five Kings and appears to hold a great deal of influence over the Reach.
After most of her family are killed in the Destruction of the Great Sept of Baelor, an event orchestrated by Cersei Lannister, Olenna's desire for vengeance leads her to pledge House Tyrell's forces to Daenerys Targaryen.","Olenna Tyrell is the widow of Lord Luthor Tyrell and the mother of Mace Tyrell, the former Lord of Highgarden, Warden of the South, Lord Paramount of the Reach, and head of House Tyrell. She is the grandmother of his children Loras and Margaery. She was born into House Redwyne, one of the most prominent and powerful vassals of House Tyrell.
In her youth, Olenna Redwyne was engaged to a member of House Targaryen, as it was ""all the rage"" at the time; it was her sister Viola to whom Luthor Tyrell was expected to marry. The night before Luthor was to propose to Viola, Olenna snuck into his chamber and seduced him, leaving him ""unable to walk downstairs"" the next day to propose to Viola. Olenna did this because the thought of marrying a Targaryen and his ""ludicrous silver hair"" did not appeal to her.
Although Olenna consistently referred to Luthor as an oaf, she was genuinely fond of him, and confided to Margaery that she had some difficulty accepting his death after his body was delivered to her.","Olenna's most prominent traits are her sharp wit, high cunning and intelligence. A politically astute woman, Olenna has been a master of court politics and intrigue her entire life. She appears to have a very dark sense of humor and likes to mock those around her, including her own family. Despite this, Olenna clearly loves her family dearly, especially her grand-children. Furthermore, she reveals to her grand-daughter that even though she considered her husband Lord Luthor Tyrell an oaf, she genuinely loved him and struggled to accept his death. Olenna clearly is a staunch supporter of House Tyrell, despite being born and raised a Redwyne. In this regard, she is very similar to Tywin Lannister, who also places the power and prestige of his House above all else. Olenna, however, is wise to not be as ruthless or as cold as he was. She strikes a much healthier balance between loyalty to her House and affection for her family than Tywin ever did: whereas all three of his children grew to bitterly resent him, Olenna's grandchildren dote on her, and even her exasperation for Mace's oafishness is affectionate.
Olenna's strength and competence in politics has made her the de facto head of House Tyrell and, by extension, the Reach itself. An outspoken woman with little patience for inconvenience, she is unafraid of using her power as head of House Tyrell to threaten her enemies. Olenna never shies from stating her opinion (unless it is more advantageous to mask it) and truly hates Cersei Lannister for her cruelty, incompetence, and deep selfishness. She also admits that she finds Sansa Stark rather dull and is interested in her political potential and not her personality. Olenna stated that she did not trust Tywin Lannister, nor did she especially like him as a person, but she did respect him for his steadfast diligence, ambition and intellect - she almost praised him for the fact that he actually lived up to his reputation. Olenna is incredibly intelligent, as well as wise enough to understand that sometimes people must work with their enemies rather than constantly compete against them, which also explains why she respected Lord Tywin. On the darker side, Olenna has no problem harming children - such as when she poisons Joffrey, leading to his death in his mother's arms - proving she can be just as ruthless as Tywin or Littlefinger when necessary, although not entirely without reason, as she did it in order to protect Margaery from the monster that Joffrey truly was.
Following the death of her family, Olenna's tongue grew even sharper. Instead of showcasing her cunning wit, her jagged barbs now stem from anger and pain. Olenna has not grown reckless or despondent, however: she is ready and willing to seek revenge, and remains strategic and pragmatic about doing so. She also makes it clear that since her entire future has been robbed from her, she doesn't care about survival; she is perfectly willing to die, and exhaust whatever forces she has, if it means she can bring Cersei to justice.","3, 4, 5, 6, 7","",Alive,"",The Arbor,"House Tyrell, House Targaryen",Andal,"","","","","",Luthor Tyrell,Mace Tyrell,Viola Redwyne,"",http://vignette1.wikia.nocookie.net/gameofthrones/images/b/bb/Olenna_season_6_a.jpg/revision/latest?cb=20160718204242,Olenna Tyrell,http://vignette3.wikia.nocookie.net/gameofthrones/images/f/f1/LemonCakes4.jpg,Olenna and her grandaughter Margaery lunch with Sansa Stark.,http://vignette2.wikia.nocookie.net/gameofthrones/images/4/4e/Season_3_Ep_4_Varys_Olenna.png,Varys and Olenna discuss Sansa.,http://vignette1.wikia.nocookie.net/gameofthrones/images/a/ad/Olenna_Podrick_Kissed_by_Fire.png,Olenna meets with Tyrion Lannister.,http://vignette3.wikia.nocookie.net/gameofthrones/images/0/0b/Olennafeast.png,Olenna during Tyrion and Sansa's wedding feast.,http://vignette2.wikia.nocookie.net/gameofthrones/images/1/1c/Margolenna.png,Olenna prepares Margaery for her wedding to Joffrey.,http://vignette3.wikia.nocookie.net/gameofthrones/images/0/0a/Olenna_and_Sansa_2.jpg,Olenna consoles Sansa.,http://vignette4.wikia.nocookie.net/gameofthrones/images/5/56/Olennamarg2.png,Olenna hints at her involvement in Joffrey's murder.,House Tyrell
Jaehaerys I Targaryen,"King Jaehaerys I Targaryen is an unseen character in Game of Thrones. He is not expected to appear in the series, being long dead by the time it begins. He was the fourth king of the Targaryen Dynasty.","Jaehaerys I was the fourth king of the Targaryen dynasty, and reigned two centuries before the War of the Five Kings. He was a son of King Aenys Targaryen.
Following the death of King Maegor the Cruel, Jaehaerys ascended to the Iron Throne and dispatched his Hand of the King, Septon Barth, who made peace with the Faith of the Seven, putting an end to the Faith Militant uprising. In exchange for the Iron Throne perpetual defense and protection of the Faith, the Faith Militant would disarm and disband and the Faith would give up its condemnation of the incestuous practices of House Targaryen.","",3,"King of the Andals and the First Men, Lord of the Seven Kingdoms, Protector of the Realm",Deceased,"","Red Keep, King's Landing",House Targaryen,Valyrian,"",Maegor I Targaryen,Viserys I Targaryen,Aenys I Targaryen,"",Alysanne Targaryen,"","Aegon Targaryen, Rhaena Targaryen, Alysanne Targaryen","",http://vignette1.wikia.nocookie.net/gameofthrones/images/0/0d/JaehaerysTheConciliator.png/revision/latest?cb=20160723191706,Jaehaerys I Targaryen,"","","","","","","","","","","","","","",House Targaryen
Eon Hunter,"Lord Eon Hunter is a minor character in the first season. He is played by guest star Barrington Cullen and only appears in ""A Golden Crown."" Eon Hunter is the Lord of Longbow Hall and the head of House Hunter, a vassal family to House Arryn of the Eyrie.","","",1,Lord of Longbow Hall,Alive,"",Longbow Hall,"House Arryn, House Hunter",Andal,"","","","","","","","","",http://vignette1.wikia.nocookie.net/gameofthrones/images/9/9b/Eon_Hunter.jpg/revision/latest?cb=20120310070038,Eon Hunter,"","","","","","","","","","","","","","",House Arryn
Mummer 2,"A Mummer is a minor character in the sixth season. He is played by Brendan O'Rourke and debuts in ""The Door"".","","",6,"",Alive,"",Braavos,Izembaro's troupe,Braavosi,"","","","","","","","","",http://vignette1.wikia.nocookie.net/gameofthrones/images/b/b5/Mummer_2.jpg/revision/latest?cb=20160713083901,Mummer 2,"","","","","","","","","","","","","","",""
Hodor,"Hodor, originally named Wylis, is a recurring character in the first, second, third, fourth, and sixth seasons. He is played by guest star Kristian Nairn and debuts in the series premiere, though he does not speak until ""Cripples, Bastards and Broken Things."" Hodor is a simpleminded servant of House Stark at Winterfell working in the stables.","Hodor is simple-minded (i.e. mentally disabled) and he is only capable of saying one word, ""hodor"", though he can apparently understand complex instructions other people give him. ""Hodor"" is a seemingly nonsense word, though in the process it became the name everyone calls him. It is derived from the phrase ""hold the door"", the words that Hodor heard during the seizure that mentally disabled him as a result of the future Bran Stark accidentally warging into his young self during a vision. Nonetheless, House Stark set him to work at a productive occupation within his capacities, as a stableboy serving at Winterfell. Hodor is incredibly large and strong. While he is slow of wits, he is gentle and loyal to the Starks. He is actually Old Nan's great-grandson and only known relative.","Hodor generally seems to have a happy demeanor, overjoyed by basic things like presenting Bran with a new saddle, hearing the echo of his own voice in a well, or greeting one of the Stark direwolves. He is deeply loyal to the Starks, who have treated him very well, apart from the time Bran Stark warged into him as a child to save himself causing Hodor to become simple-minded. Despite his large size and strength, Hodor is a gentle soul who is terrified by violence - even violence done by himself, as he often cowers in fear instead of fighting back against foes who are actually smaller than he is. Even so, his loyalty to the Starks is so great that he continues to follow (or rather, carry) Bran Stark through great dangers.
In his youth, before his fateful seizure Hodor is shown with an ordinary friendly personality, capable of speech, getting on well with Lyanna, Ned and Benjen Stark and demonstrating an interest in learning swordplay.","1, 2, 3, 4, 6","",Deceased,"Torn apart by wights, giving time for Bran Stark to escape",Winterfell,House Stark,Northmen,"","","","","","","","","",http://vignette3.wikia.nocookie.net/gameofthrones/images/1/18/Season_6_hodor_main.jpg/revision/latest?cb=20160617020835,Hodor,http://vignette1.wikia.nocookie.net/gameofthrones/images/3/39/Young_hodor.jpg,Hodor as a young stable boy called Wylis.,http://vignette4.wikia.nocookie.net/gameofthrones/images/9/9a/Tyrion_and_Bran_1x04.png,"Hodor carries Bran to see Tyrion in ""Cripples, Bastards, and Broken Things.""",http://vignette2.wikia.nocookie.net/gameofthrones/images/b/b6/Summer_2x03.jpg,"Bran wakes to see Summer and Hodor in ""What is Dead May Never Die"".",http://vignette1.wikia.nocookie.net/gameofthrones/images/1/18/Bran_and_Rickon_Alive.jpg,"Hodor, Bran, and Rickon in the crypts of Winterfell in ""The Prince of Winterfell.""",http://vignette1.wikia.nocookie.net/gameofthrones/images/8/8e/Bran%2C_Hodor%2C_Summer_and_Shaggydog.jpg,"Hodor and Bran emerging from the Crypts with Shaggydog and Summer in ""Valar Morghulis.""",http://vignette3.wikia.nocookie.net/gameofthrones/images/9/91/Young_hodor_seizing_hold_the_door.jpg,"""Hold the door!""","","",House Stark
Tansy,"Tansy is a minor character appearing in the fourth season. She is played by guest star Jazzy de Lisser and only appears in a single episode, ""The Lion and the Rose"".",Tansy is a servant of House Bolton and one of Ramsay Snow's bedwarmers.,"",4,"",Deceased,Torn apart by the bastard's girls on the orders of Ramsay Snow,"",House Bolton,Northmen,"","","","","","","","","",http://vignette2.wikia.nocookie.net/gameofthrones/images/2/23/Tansy4x02.jpg/revision/latest?cb=20160716073003,Tansy,"","","","","","","","","","","","","","",House Bolton
Rhaenys Targaryen (daughter of Rhaegar),Princess Rhaenys Targaryen is an unseen character in Game of Thrones. She is deceased when the events of the series begin and she is not expected to appear in the series.,"Rhaenys Targaryen was the daughter of Prince Rhaegar Targaryen and Princess Elia Martell. She had a younger full-brother, Aegon, and a younger paternal half-brother, Jon Snow. For mysterious reasons, Rhaegar allegedly abducted Jon's mother Lyanna Stark, sparking a Rebellion that ultimately deposed House Targaryen as the ruling house of Westeros. Rhaegar was killed by Robert Baratheon, who was Lyanna's betrothed, at the Battle of the Trident. Soon afterwards, Rhaenys and Aegon were brutally murdered along with their mother by Ser Gregor Clegane during the Sack of King's Landing.","","",Princess,Deceased,"281 AL, Killed during the Sack of King's Landing by Ser Gregor Clegane",King's Landing,House Targaryen,Valyrian,"","","",Rhaegar Targaryen,Elia Martell,"","","Aegon Targaryen, Jon Snow (paternal half-brother)","",http://vignette3.wikia.nocookie.net/gameofthrones/images/8/82/Rhaenys.jpg/revision/latest?cb=20120603161803,Rhaenys Targaryen (daughter of Rhaegar),http://vignette2.wikia.nocookie.net/gameofthrones/images/9/97/Gregor_kills_Targaryens.jpg,"Rhaenys, her mother, and her brother before Ser Gregor Clegane.","","","","","","","","","","","","",House Targaryen
Hugh,"Hugh, called Ser Hugh of the Vale, is a recurring character in the first season. He is played by guest star Jefferson Hall and debuts in ""Cripples, Bastards and Broken Things."" Ser Hugh is a freshly made knight. He is killed by a splintered lance while jousting with Ser Gregor Clegane.","Hugh served as Lord Jon Arryn's squire for four years before Jon Arryn's death. After Arryn's death, Hugh was knighted for his loyal service by King Robert Baratheon. When Lady Lysa Arryn returned to the Eyrie with her son, Ser Hugh elected to remain in King's Landing in the King's service.","",1,Ser,Deceased,Impaled in the throat during a tournament by Ser Gregor Clegane,The Vale of Arryn,House Arryn,Andal,"","","","","","","","","",http://vignette4.wikia.nocookie.net/gameofthrones/images/d/df/Hugh_profile.jpg/revision/latest?cb=20130111183816,Hugh,http://vignette4.wikia.nocookie.net/gameofthrones/images/a/a2/Silent_Sisters.png,Ser Hugh of the Vale being prepared for transport home to be buried.,"","","","","","","","","","","","",House Arryn
Bowen Marsh,First Steward Bowen Marsh  is a recurring character in the fifth and sixth season who had already been mentioned in the first season. He is played by Michael Condron. Bowen Marsh is the First Steward of the Night's Watch.,"Bowen Marsh is the First Steward of the Night's Watch, based at Castle Black. He is in charge of the day-to-day running of the Night's Watch, dealing with issues of supplies, funding, logistics and communications. He hails from House Marsh, a noble crannogmen family of the Neck sworn to House Reed.","","5, 6",First Steward of the Night's Watch,Deceased,Executed by hanging by Jon Snow for treason,"",Night's Watch,Crannogmen,"","","","","","","","","",http://vignette1.wikia.nocookie.net/gameofthrones/images/a/a8/Marsh_promo.png/revision/latest?cb=20150427143614,Bowen Marsh,http://vignette1.wikia.nocookie.net/gameofthrones/images/0/0c/Bowen_Marsh_stabs_Jon.jpg,Bowen Marsh stabs Jon during the mutiny at Castle Black.,"","","","","","","","","","","","",""
Nymeria (direwolf),"Nymeria is one of six direwolf pups found by the children of House Stark. Nymeria is adopted and raised by Arya Stark.
Arya named her after Nymeria of Dorne, the warrior-queen of the Rhoynar who lived a thousand years ago.","","",1,"",Uncertain; loose in The Riverlands after an attack on Joffrey Baratheon,"","",Arya Stark,"","","","","","","","","","",http://vignette4.wikia.nocookie.net/gameofthrones/images/a/ac/NymeriaTop.jpg/revision/latest?cb=20141115023958,Nymeria (direwolf),http://vignette4.wikia.nocookie.net/gameofthrones/images/d/d3/Nymeria_bites_Joffrey.png,Nymeria bites Joffrey in defense of Arya.,http://vignette1.wikia.nocookie.net/gameofthrones/images/0/0f/Screen_Shot_2013-06-16_at_12.46.37_AM.png,"Arya says goodbye to Nymeria in ""The Kingsroad.""","","","","","","","","","","",""
Jack Bulwer,"Jack Bulwer, nicknamed Black Jack Bulwer, is a minor character in the fourth season. He is a Ranger of the Night's Watch. He is originally from House Bulwer of Blackcrown. He is played by guest star Cormac McDonagh and only appears in ""The Mountain and the Viper"".","","",4,"",Deceased,Killed by wildlings,Blackcrown,"Night's Watch, House Bulwer",Andal,"","","","","","","","","",http://vignette1.wikia.nocookie.net/gameofthrones/images/1/1c/Black_Jack_Bulwer.jpg/revision/latest?cb=20140603013709,Jack Bulwer,"","","","","","","","","","","","","","",""
Wallen,"Wallen is a minor character in the first season. He is played by Barry O'Connor and only appears in ""A Golden Crown."" Wallen is a wildling, and apparently a deserter from the Night's Watch.","Wallen is a former member of the Night's Watch, who abandoned the Wall to live amongst the wildlings.","",1,"",Deceased,Throat sliced open by Robb Stark,"","Free Folk, Night's Watch",Free Folk,"","","","","","","","","",http://vignette3.wikia.nocookie.net/gameofthrones/images/f/fa/Wallen1.jpg/revision/latest?cb=20130216195147,Wallen,"","","","","","","","","","","","","","",""
Derwa Frey,"Derwa Frey is one of the many daughters of Walder Frey. She only appears in the Season 3 episode ""The Rains of Castamere.","Derwa is one of the many daughters of Walder Frey, the Lord of the Crossing.","",3,"",Alive,"",The Twins,House Frey,Andal,"","","",Walder Frey,"Joyeuse Erenford (stepmother), Kitty Frey (stepmother)","","","Walda Frey, Waldra Frey , Roslin Frey , Shirei Frey , Stevron Frey , Lothar Frey , Olyvar Frey , Waldron Frey, Ryger Rivers (bastard paternal half-, brother), Walder Rivers (bastard paternal half-brother)","",http://vignette3.wikia.nocookie.net/gameofthrones/images/6/6f/Derwa_Frey.jpg/revision/latest?cb=20160720083025,Derwa Frey,"","","","","","","","","","","","","","",House Frey
Kevan Lannister,"Ser Kevan Lannister is a recurring character in the first, second, fifth and sixth seasons. He is played by Ian Gelder and debuts in ""The Pointy End"". Kevan is the younger brother of Lord Tywin Lannister and one of his most loyal and trusted officers in the Lannister armies during the War of the Five Kings.
After his brother's death at the hands of his nephew Tyrion, Kevan opposes his niece Cersei's seizure of power as leader of her son King Tommen's Small Council. Refusing his appointment by Cersei as Master of War, he departs the court in protest and returns to Casterly Rock.
When Cersei is arrested on various charges by the Faith Militant, Kevan returns to King's Landing and is appointed Hand of the King by Grand Maester Pycelle.","Kevan was the second son of the late Lord Tytos Lannister. He was the brother of Lord Tywin Lannister the head of House Lannister and Lord of Casterly Rock. Kevan was married to Dorna Lannister - who King Robert characterized as ""a dumb whore with a fat arse"" - and they had a son Lancel, who was a squire to King Robert Baratheon. He was a noted knight who served his elder brother loyally as an adviser, and was respected for his wise and candid counsel.","Kevan was reliable, solid and serious, but not as prideful, decisive or ruthless as his older brother Tywin, which is demonstrated by his suggestion to sue for peace during the fallout of Ned Stark's murder (until Tyrion had to correct him with the fact that Joffrey destroyed any hope of such an arrangement). Like Tywin, he was willing to work with rivals even if he didn't trust them, as demonstrated by his offering Olenna Tyrell a place in the Small Council. He was always content with being a follower rather than a leader but could take charge when the situation demanded it, chastising Cersei for not teaching Tommen how to rule and trying to act above her position as Queen Mother, culminating in him becoming Hand of the King at Pycelle's request. Also, Kevan was somewhat perceptive in a way, deducing how Cersei was opting to line the Small Council with sycophants like Qyburn and fools like Mace Tyrell - he was visibly distasteful of such an act.
Alas, he did not know Cersei as well as Tywin, and did not, like everyone else, foresee his fate in the Great Sept of Baelor. Not sensing Cerseis' great foolishness to destroy their most powerful ally for when the Lannisters are vulnerable or her ruthlessness to burn the Sept.","1, 2, 5, 6","Ser, Hand of the King (to Tommen I), Protector of the Realm (for Tommen I)",Deceased,Burned alive in a Wildfire explosion orchestrated by Cersei Lannister,Casterly Rock,House Lannister,Andal,"",Tywin Lannister (Hand of the King),Qyburn (Hand of the Queen),Tytos Lannister,"",Dorna Lannister,"Lancel Lannister, Martyn Lannister, Willem Lannister",Tywin Lannister,"",http://vignette1.wikia.nocookie.net/gameofthrones/images/8/88/Kevan_Lannister_s6.jpg/revision/latest?cb=20161215025006,Kevan Lannister,http://vignette1.wikia.nocookie.net/gameofthrones/images/5/58/No_One_13.jpg,Kevan and Pycelle advise King Tommen.,"","","","","","","","","","","","",House Lannister
Nail,Nail is a background character in Game of Thrones: A Telltale Games Series. He is a member of the Second Sons.,"","","","",Alive,"","",Second Sons,"","","","","","","","","","","",Nail,"","","","","","","","","","","","","","",""
Cynda Lannister,Cynda Lannister is an unseen character mentioned in the second season. Cynda is the mother of Ser Alton Lannister.,Cynda Lannister is a member of a lesser branch of House Lannister and the mother of Ser Alton Lannister.,"",2,"",Alive,"","",House Lannister,Andal,"","","","","","",Alton Lannister,"","","",Cynda Lannister,"","","","","","","","","","","","","","",House Lannister
Dothraki crone,"A Dothraki crone is an unnamed minor character in the first season. She is played by guest star Amira Ghazella and only appears in ""A Golden Crown"". She is a member of the dosh khaleen, the widows of deceased khals who preside over Dothraki religious rituals.","","",1,Khaleesi (formerly),Alive,"",Dothraki Sea,"Dothraki, Dosh khaleen",Dothraki,Great Stallion,"","","","",Unknown Khal,"","","",http://vignette2.wikia.nocookie.net/gameofthrones/images/4/44/Dosh_khaleen_leader.jpg/revision/latest?cb=20120816205810,Dothraki crone,http://vignette1.wikia.nocookie.net/gameofthrones/images/3/3e/Dosh_khaleen_and_Daenerys.jpg,The Dothraki crone with Khaleesi Daenerys Targaryen.,"","","","","","","","","","","","",""
Waldra Frey,"Waldra Frey is one of the many daughters of Walder Frey. She only appears in the Season 3 episode ""The Rains of Castamere"".","Waldra is one of the many daughters of Walder Frey, the Lord of the Crossing.","",3,"",Alive,"",The Twins,House Frey,Andal,"","","",Walder Frey,"Joyeuse Erenford (stepmother), Kitty Frey (stepmother)","","","Arwaya Frey, Walda Frey , Derwa Frey , Roslin Frey , Shirei Frey, Stevron Frey , Lothar Frey, Waldron Frey, Ryger Rivers (bastard paternal half-, brother), Walder Rivers (bastard paternal half-brother)","",http://vignette4.wikia.nocookie.net/gameofthrones/images/0/07/Waldra_Frey.jpg/revision/latest?cb=20160720092501,Waldra Frey,"","","","","","","","","","","","","","",House Frey
Gladiator,A gladiator is a character in the fifth season. He is played by Roman Beguns.,"","",5,"",Alive,"","","","","","","","","","","","","","",Gladiator,"","","","","","","","","","","","","","",""
Talbot,Talbot is a minor character mentioned in Season 3. He is a man-at-arms sworn to House Frey.,"","",3,"",Alive,"","",House Frey,"","","","","","","","","","","",Talbot,"","","","","","","","","","","","","","",House Frey
Aerys I Targaryen,"Aerys I Targaryen is an unseen character in Game of Thrones. He is not expected to appear in the series, being long dead by the time it begins.","Aerys Targaryen was the first of his name to sit the Iron Throne and the thirteenth King of the Targaryen dynasty. He was the son of King Daeron the Good and Queen Myriah and succeeded his father after he perished in the Great Spring Sickness since his elder brother Baelor died before that after fighting in the Trial by Seven of Duncan the Tall. Per the Targaryen tradition, he took his own sister Aelinor as his wife. His other brothers were Rhaegel and Maekar, who would succeed him to the Iron Throne.","",1,"King of the Andals and the First Men, Lord of the Seven Kingdoms, Protector of the Realm",Deceased,"","Red Keep, King's Landing",House Targaryen,"","",Daeron II Targaryen,Maekar I Targaryen,Daeron II Targaryen,Myriah Martell,Aelinor Targaryen,"","Baelor Targaryen, Aelinor Targaryen , Rhaegel Targaryen, Maekar I Targaryen","",http://vignette1.wikia.nocookie.net/gameofthrones/images/0/0c/History_and_Lineages_Blackfyre.jpg/revision/latest?cb=20160804235246,Aerys I Targaryen,"","","","","","","","","","","","","","",House Targaryen
Corlys Velaryon,"Corlys Velaryon is a mentioned character in Game of Thrones. He is long dead before the series commence, and so far has only appeared in the Histories & Lore featurettes. Corlys Velaryon was an ancestor of House Velaryon who served as the Hand of the Queen to Queen Rhaenyra Targaryen during the Dance of the Dragons.","","","",Lord of DriftmarkHand of the Queen (to Rhaenyra I),Deceased,"",Driftmark,House VelaryonBlacks,Valyrian,Faith of the Seven,"","","","",Rhaenys Targaryen,Laenor Velaryon,"","",http://vignette4.wikia.nocookie.net/gameofthrones/images/f/fa/Lord_Corlys_Velaryon.png/revision/latest?cb=20161116201524,Corlys Velaryon,"","","","","","","","","","","","","","",""
Bruni,Bruni is an unseen character in Game of Thrones. He is deceased when the events of the series begin and is not expected to appear in the series.,Bruni was a wildling who was involved with Osha.,"",3,"",Deceased,Stabbed and burned as wight by Osha,Beyond the Wall,Free Folk,"Free Folk, Wight (in death)","","","","","","","","","","",Bruni,"","","","","","","","","","","","","","",""
